Date,Open,High,Low,Close,Volume
2023-01-02,100.31,100.87,99.79,100.0,455078
2023-01-03,99.73,99.83,98.8,99.46,590235
2023-01-04,102.38,103.28,101.92,102.11,350805
2023-01-05,102.46,102.62,101.67,102.32,455692
2023-01-06,107.72,109.57,107.7,108.26,298240
2023-01-09,112.31,112.49,111.99,112.25,264934
2023-01-10,111.88,112.67,111.08,112.29,483944
2023-01-11,112.99,113.19,111.34,112.01,442850
2023-01-12,111.15,111.66,111.06,111.38,372667
2023-01-13,113.23,114.26,112.45,112.92,273348
2023-01-16,112.1,112.88,112.0,112.8,467686
2023-01-17,114.08,115.37,113.95,114.62,443761
2023-01-18,114.63,115.01,114.24,114.88,411573
2023-01-19,116.9,117.88,115.48,116.57,433560
2023-01-20,119.34,119.99,118.61,119.08,393485
2023-01-23,114.27,114.46,113.29,114.14,556696
2023-01-24,112.99,114.08,112.09,113.84,529693
2023-01-25,115.38,115.91,113.24,114.86,908999
2023-01-26,115.72,117.11,115.27,116.15,784483
2023-01-27,116.18,116.86,114.78,115.43,444832
2023-01-30,112.72,113.05,111.05,111.88,280167
2023-01-31,110.91,111.47,110.52,110.55,577960
2023-02-01,106.68,107.03,106.21,106.26,357225
2023-02-02,104.8,106.54,104.62,105.34,816665
2023-02-03,109.47,109.68,107.83,108.35,252762
2023-02-06,103.52,104.01,102.91,103.43,381246
2023-02-07,110.08,110.1,109.23,109.64,820077
2023-02-08,108.28,109.71,107.44,108.65,451184
2023-02-09,108.87,109.34,107.98,108.89,597065
2023-02-10,108.91,109.47,108.23,109.43,581825
2023-02-13,106.55,107.49,105.73,106.65,371933
2023-02-14,107.66,108.74,107.09,107.66,623690
2023-02-15,107.63,107.82,106.67,107.52,320481
2023-02-16,110.48,110.53,109.7,109.87,396098
2023-02-17,109.39,110.43,108.73,109.18,1024951
2023-02-20,105.58,106.41,105.13,105.48,418258
2023-02-21,104.81,104.81,104.57,104.79,518373
2023-02-22,103.99,105.35,103.04,103.16,295931
2023-02-23,102.4,103.68,101.44,102.64,755830
